ImgName,GC_Pred
0170.png,0
0114.png,0
0171.png,1
0200.png,0
0159.png,0
0121.png,1
0126.png,1
0117.png,0
0191.png,1
0157.png,1
0135.png,0
0118.png,0
0180.png,1
0140.png,1
0162.png,0
0148.png,1
0131.png,0
0146.png,1
0150.png,0
0182.png,1
0177.png,1
0149.png,0
0168.png,0
0184.png,1
0116.png,0
0192.png,1
0188.png,0
0190.png,1
0155.png,1
0198.png,1
0174.png,1
0125.png,0
0105.png,1
0181.png,1
0164.png,1
0193.png,1
0199.png,1
0156.png,0
0107.png,0
0158.png,0
0194.png,0
0124.png,0
0109.png,1
0142.png,0
0167.png,0
0187.png,0
0165.png,1
0172.png,1
0175.png,1
0169.png,0
0137.png,1
0195.png,0
0120.png,0
0161.png,0
0173.png,1
0123.png,0
0112.png,1
0122.png,1
0151.png,0
0130.png,0
0132.png,0
0189.png,1
0103.png,1
0145.png,0
0138.png,0
0154.png,1
0160.png,0
0196.png,1
0113.png,0
0185.png,1
0128.png,0
0143.png,0
0119.png,0
0115.png,0
0183.png,1
0101.png,1
0197.png,1
0152.png,0
0104.png,1
0134.png,0
0144.png,0
0139.png,0
0186.png,0
0136.png,1
0163.png,1
0178.png,0
0108.png,0
0166.png,1
0147.png,1
0133.png,0
0102.png,1
0111.png,1
0106.png,1
0176.png,1
0127.png,1
0153.png,1
0110.png,1
0129.png,0
0179.png,0
0141.png,0
